species,band_type,mode_index,mode1,mode2,frequency_cm1,wavelength_nm,intensity_km_mol,source
HDO-H2O-HX,fundamental,8.0,8,,2746.094,3641.53594159559,11.61,GVPT2_fundamental
HDO-H2O-HX,fundamental,9.0,9,,3629.661,2755.0782290687753,376.869,GVPT2_fundamental
HDO-H2O-HX,fundamental,10.0,10,,3684.397,2714.1483396061826,8.652,GVPT2_fundamental
HDO-H2O-HX,fundamental,11.0,11,,3772.12,2651.029129508075,86.431,GVPT2_fundamental
HDO-HDO-DD,fundamental,0.0,0,,97.881,102164.8736731337,36.297,GVPT2_fundamental
HDO-HDO-DD,fundamental,1.0,1,,106.899,93546.24458601109,136.188,GVPT2_fundamental
HDO-HDO-DD,fundamental,2.0,2,,113.7,87950.74758135444,118.983,GVPT2_fundamental
HDO-HDO-DD,fundamental,3.0,3,,140.654,71096.4494433148,73.599,GVPT2_fundamental
HDO-HDO-DD,fundamental,4.0,4,,247.027,40481.40486667449,44.593,GVPT2_fundamental
HDO-HDO-DD,fundamental,5.0,5,,409.825,24400.65881778808,60.283,GVPT2_fundamental
HDO-HDO-DD,fundamental,6.0,6,,1389.583,7196.403525374159,52.401,GVPT2_fundamental
HDO-HDO-DD,fundamental,7.0,7,,1399.449,7145.669474200203,63.932,GVPT2_fundamental
HDO-HDO-DD,fundamental,8.0,8,,2664.223,3753.439558175123,188.557,GVPT2_fundamental
HDO-HDO-DD,fundamental,9.0,9,,2738.904,3651.095474686225,24.331,GVPT2_fundamental
HDO-HDO-DD,fundamental,10.0,10,,3724.818,2684.694930061012,55.806,GVPT2_fundamental
HDO-HDO-DD,fundamental,11.0,11,,3731.635,2679.7904939791806,35.37,GVPT2_fundamental
HDO-HDO-DH,fundamental,0.0,0,,94.064,106310.59704031299,36.585,GVPT2_fundamental
HDO-HDO-DH,fundamental,1.0,1,,118.346,84497.99739746167,137.187,GVPT2_fundamental
HDO-HDO-DH,fundamental,2.0,2,,114.62,87244.80893386844,117.797,GVPT2_fundamental
HDO-HDO-DH,fundamental,3.0,3,,147.278,67898.80362308017,73.459,GVPT2_fundamental
HDO-HDO-DH,fundamental,4.0,4,,249.799,40032.18587744547,44.605,GVPT2_fundamental
HDO-HDO-DH,fundamental,5.0,5,,407.616,24532.893703878162,60.321,GVPT2_fundamental
HDO-HDO-DH,fundamental,6.0,6,,1391.266,7187.698110929182,52.386,GVPT2_fundamental
HDO-HDO-DH,fundamental,7.0,7,,1398.721,7149.388620032158,63.953,GVPT2_fundamental
HDO-HDO-DH,fundamental,8.0,8,,2664.302,3753.3282638379583,188.565,GVPT2_fundamental
HDO-HDO-DH,fundamental,9.0,9,,2733.853,3657.8411494692655,24.33,GVPT2_fundamental
HDO-HDO-DH,fundamental,10.0,10,,3730.734,2680.437683308432,55.8,GVPT2_fundamental
HDO-HDO-DH,fundamental,11.0,11,,3733.491,2678.458311537379,35.367,GVPT2_fundamental
HDO-HDO-HD,fundamental,0.0,0,,79.81,125297.5817566721,88.338,GVPT2_fundamental
HDO-HDO-HD,fundamental,1.0,1,,83.365,119954.41732141787,44.213,GVPT2_fundamental
HDO-HDO-HD,fundamental,2.0,2,,112.203,89124.17671541759,124.506,GVPT2_fundamental
HDO-HDO-HD,fundamental,3.0,3,,138.666,72115.73132563138,55.685,GVPT2_fundamental
HDO-HDO-HD,fundamental,4.0,4,,223.235,44795.84294577463,42.246,GVPT2_fundamental
HDO-HDO-HD,fundamental,5.0,5,,450.321,22206.381669964314,94.563,GVPT2_fundamental
HDO-HDO-HD,fundamental,6.0,6,,1398.401,7151.024634564763,75.16,GVPT2_fundamental
HDO-HDO-HD,fundamental,7.0,7,,1426.962,7007.895094613592,40.393,GVPT2_fundamental
HDO-HDO-HD,fundamental,8.0,8,,2735.048,3656.242961732299,26.116,GVPT2_fundamental
HDO-HDO-HD,fundamental,9.0,9,,2743.856,3644.5061256858958,11.895,GVPT2_fundamental
HDO-HDO-HD,fundamental,10.0,10,,3628.338,2756.0828125714856,371.298,GVPT2_fundamental
HDO-HDO-HD,fundamental,11.0,11,,3723.785,2685.4396803252607,52.909,GVPT2_fundamental
HDO-HDO-HH,fundamental,0.0,0,,72.41,138102.47203424943,88.03,GVPT2_fundamental
HDO-HDO-HH,fundamental,1.0,1,,96.668,103446.84900897917,44.881,GVPT2_fundamental
HDO-HDO-HH,fundamental,2.0,2,,105.038,95203.64058721605,124.333,GVPT2_fundamental
HDO-HDO-HH,fundamental,3.0,3,,140.636,71105.54907704997,55.496,GVPT2_fundamental
HDO-HDO-HH,fundamental,4.0,4,,221.897,45065.954023713704,42.254,GVPT2_fundamental
HDO-HDO-HH,fundamental,5.0,5,,448.01,22320.93033637642,94.581,GVPT2_fundamental
HDO-HDO-HH,fundamental,6.0,6,,1399.138,7147.257811595426,75.15,GVPT2_fundamental
HDO-HDO-HH,fundamental,7.0,7,,1427.6,7004.763239002522,40.406,GVPT2_fundamental
HDO-HDO-HH,fundamental,8.0,8,,2732.705,3659.3777959933473,26.12,GVPT2_fundamental
HDO-HDO-HH,fundamental,9.0,9,,2745.361,3642.50821658791,11.899,GVPT2_fundamental
HDO-HDO-HH,fundamental,10.0,10,,3628.015,2756.328184971672,371.286,GVPT2_fundamental
HDO-HDO-HH,fundamental,11.0,11,,3728.54,2682.014944187269,52.91,GVPT2_fundamental
HDO,fundamental,0.0,0,,1392.627,7180.673647717587,64.671,GVPT2_fundamental
HDO,fundamental,1.0,1,,2736.298,3654.5727110132016,18.216,GVPT2_fundamental
HDO,fundamental,2.0,2,,3733.855,2678.197198337911,39.525,GVPT2_fundamental
D2O-D2O-DX,overtone,,0,0.0,158.79,62976.257950752566,3.94,GVPT2_overtone_combination
