species,mode1,mode2,same_mode,frequency_cm1,wavelength_nm,intensity_km_mol,eps_L_per_mol_cm,t2_au,tx,ty,tz
D2O-H2O-DX,4,8,False,2903.66,3443.9293856718764,0.56,0.000111,1.2e-05,-0.003317,0.000502,-0.000826
D2O-H2O-DX,4,9,False,3011.26,3320.8690050012283,0.07,1.5e-05,2e-06,0.000978,-0.000254,0.000716
D2O-H2O-DX,4,10,False,3926.91,2546.531496774818,0.57,0.000113,9e-06,-0.002766,0.000497,-0.00105
D2O-H2O-DX,4,11,False,4018.2,2488.6765218256933,0.08,1.5e-05,1e-06,0.000102,0.001051,0.000234
D2O-H2O-DX,5,5,True,741.35,13488.905375328792,0.83,0.000164,6.9e-05,0.007822,-0.00131,0.002489
D2O-H2O-DX,5,6,False,1581.73,6322.191524470042,0.03,7e-06,1e-06,0.000108,0.001129,0.000251
D2O-H2O-DX,5,7,False,1990.19,5024.645888081037,0.0,1e-06,0.0,3.3e-05,0.000313,7.2e-05
D2O-H2O-DX,5,8,False,3066.31,3261.2488626394593,0.0,0.0,0.0,1.7e-05,0.000178,4e-05
D2O-H2O-DX,5,9,False,3169.77,3154.80302987283,0.05,1e-05,1e-06,-9.4e-05,-0.000969,-0.000217
D2O-H2O-DX,5,10,False,4080.03,2450.9623703747275,0.03,5e-06,0.0,-5.8e-05,-0.000606,-0.000136
D2O-H2O-DX,5,11,False,4168.69,2398.8351256629785,0.06,1.2e-05,1e-06,0.000276,-0.000224,0.000897
D2O-H2O-DX,6,6,True,2339.92,4273.650381209613,0.04,7e-06,1e-06,-0.000475,-0.000143,0.000845
D2O-H2O-DX,6,7,False,2772.69,3606.605859291879,0.0,1e-06,0.0,0.000241,-2.7e-05,1.9e-05
D2O-H2O-DX,6,8,False,3821.25,2616.9447170428525,0.55,0.000109,9e-06,0.002973,-0.000305,8.9e-05
D2O-H2O-DX,6,9,False,3943.9,2535.5612464819087,1.78,0.000351,2.8e-05,0.004981,-9.5e-05,-0.001727
D2O-H2O-DX,6,10,False,4864.66,2055.642120929315,0.01,1e-06,0.0,-0.000102,6.3e-05,-0.000237
D2O-H2O-DX,6,11,False,4952.94,2019.002854870037,0.0,0.0,0.0,1.2e-05,0.000119,2.6e-05
D2O-H2O-DX,7,7,True,3147.78,3176.8420918869806,0.04,9e-06,1e-06,0.000711,6.1e-05,-0.000587
D2O-H2O-DX,7,8,False,4236.99,2360.166061284072,0.01,1e-06,0.0,0.00013,-6.3e-05,0.000229
D2O-H2O-DX,7,9,False,4362.01,2292.5211083881054,0.0,0.0,0.0,0.000114,-3.8e-05,0.000122
D2O-H2O-DX,7,10,False,5262.08,1900.3891997081003,0.04,7e-06,0.0,-0.000593,-9e-06,0.000298
D2O-H2O-DX,7,11,False,5344.66,1871.026407666718,3.79,0.00075,4.4e-05,-0.000621,-0.006433,-0.001428
D2O-H2O-DX,8,8,True,5220.09,1915.6757833677198,0.05,1e-05,1e-06,0.000656,-0.000149,0.000384
D2O-H2O-DX,8,9,False,5364.42,1864.134426461761,0.56,0.00011,6e-06,0.001804,0.000218,-0.001758
D2O-H2O-DX,8,10,False,6327.88,1580.3080968665652,0.06,1.2e-05,1e-06,0.000715,-4e-06,-0.000292
D2O-H2O-DX,8,11,False,6416.03,1558.5962035713674,0.02,3e-06,0.0,3.8e-05,0.000395,8.8e-05
D2O-H2O-DX,9,9,True,5473.45,1827.0012514958573,0.37,7.3e-05,4e-06,-0.001837,-2e-05,0.000885
D2O-H2O-DX,9,10,False,6453.85,1549.462723800522,0.01,2e-06,0.0,0.000269,-6e-06,-9.2e-05
D2O-H2O-DX,9,11,False,6542.1,1528.5611653750325,0.0,1e-06,0.0,2e-05,0.000202,4.5e-05
D2O-H2O-DX,10,10,True,7289.6,1371.8173836698859,0.46,9.1e-05,4e-06,0.001577,0.000111,-0.001188
D2O-H2O-DX,10,11,False,7302.93,1369.3134125618074,2.51,0.000497,2.1e-05,0.000432,0.00448,0.000995
D2O-H2O-DX,11,11,True,7455.28,1341.3312444334754,0.01,3e-06,0.0,0.000294,3e-06,-0.000139
D2O-HDO-DD,0,0,True,147.71,67700.22341073725,2.01,0.000397,0.000839,-0.028927,-0.000697,-0.00134
D2O-HDO-DD,0,1,False,158.35,63151.247237132935,0.34,6.7e-05,0.000131,-0.005708,0.00751,0.00651
D2O-HDO-DD,0,2,False,189.06,52893.26139849783,0.96,0.000191,0.000315,-0.017033,-0.002161,-0.004464
D2O-HDO-DD,0,3,False,214.09,46709.3278527722,0.09,1.8e-05,2.6e-05,-0.002634,-0.003777,0.002174
D2O-HDO-DD,0,4,False,332.4,30084.235860409146,1.39,0.000276,0.000259,0.005534,-0.014603,0.003897
D2O-HDO-DD,0,5,False,439.25,22766.078542970972,0.72,0.000142,0.000101,0.001766,-0.003421,0.009258
D2O-HDO-DD,0,6,False,1265.0,7905.138339920949,0.06,1.2e-05,3e-06,0.001352,0.000864,0.000586
